All-Genes	Product	Pathways of gene	Accession-1
panB	3-methyl-2-oxobutanoate hydroxymethyltransferase	"pantothenate and coenzyme A biosynthesis I // ""phosphopantothenate biosynthesis I"""	E2348C_0137
panC	pantoate--beta-alanine ligase	"pantothenate and coenzyme A biosynthesis I // ""phosphopantothenate biosynthesis I"""	E2348C_0136
panD	aspartate alpha-decarboxylase	"pantothenate and coenzyme A biosynthesis I // ""&beta;-alanine biosynthesis III"""	E2348C_0134
panE	2-dehydropantoate 2-reductase	"pantothenate and coenzyme A biosynthesis I // ""phosphopantothenate biosynthesis I"""	E2348C_0360
panF	sodium/panthothenate symporter		E2348C_3528
parC	DNA topoisomerase IV subunit A		E2348C_3311
parE	DNA topoisomerase IV subunit B		E2348C_3325
pbpC	penicillin-binding protein 1C		E2348C_2802
pbpG	D-alanyl-D-alanine endopeptidase		E2348C_2281
pck	phosphoenolpyruvate carboxykinase	gluconeogenesis I	E2348C_3647
pcm	protein-L-isoaspartate O-methyltransferase		E2348C_3013
pcnB	poly(A) polymerase		E2348C_0146
pdhR	transcriptional regulator PdhR		E2348C_0116
pduA	propanediol utilization protein PduA		E2348C_2130
pduB	propanediol utilization protein PduB		E2348C_2131
pduC	"propanediol dehydratase, large subunit, AdoCbl-dependent"		E2348C_2132
pduD	"propanediol dehydratase, medium subunit, AdoCbl-dependent"		E2348C_2133
pduE	"propanediol dehydratase, small subunit, AdoCbl-dependent"		E2348C_2134
pduF	propanediol diffusion facilitator		E2348C_2129
pduG	propanediol dehydratase reactivation protein PduG		E2348C_2135
pduH	propanediol dehydratase reactivation protein PduH		E2348C_2136
pduJ	propanediol utilization protein PduJ		E2348C_2137
pduK	propanediol utilization protein PduK		E2348C_2138
pduL	propanediol utilization protein		E2348C_2139
pduM	propanediol utilization protein		E2348C_2140
pduN	propanediol utilization protein PduN		E2348C_2141
pduO	"propanediol utilization protein PduO, AdoCbl-dependent"		E2348C_2142
pduP	CoA-dependent proprionaldehyde dehydrogenase	androstenedione degradation	E2348C_2143
pduQ	propanol dehydrogenase		E2348C_2144
pduS	propanediol utilization protein		E2348C_2145
pduT	propanediol utilization protein PduT		E2348C_2146
pduU	propanediol utilization protein PduU		E2348C_2147
pduV	propanediol utilization protein		E2348C_2148
pdxA	4-hydroxythreonine-4-phosphate dehydrogenase	"superpathway of pyridoxal 5'-phosphate biosynthesis and salvage // ""pyridoxal 5'-phosphate biosynthesis I"""	E2348C_0569
pdxA	4-hydroxythreonine-4-phosphate dehydrogenase	"superpathway of pyridoxal 5'-phosphate biosynthesis and salvage // ""pyridoxal 5'-phosphate biosynthesis I"""	E2348C_0055
pdxB	erythronate-4-phosphate dehydrogenase	"superpathway of pyridoxal 5'-phosphate biosynthesis and salvage // ""pyridoxal 5'-phosphate biosynthesis I"""	E2348C_2460
pdxH	pyridoxamine 5'-phosphate oxidase	"superpathway of pyridoxal 5'-phosphate biosynthesis and salvage // ""pyridoxal 5'-phosphate biosynthesis I"" // ""pyridoxal 5'-phosphate salvage I"""	E2348C_1725
pdxJ	pyridoxine 5'-phosphate synthase	"superpathway of pyridoxal 5'-phosphate biosynthesis and salvage // ""pyridoxal 5'-phosphate biosynthesis I"""	E2348C_2841
pdxK	pyridoxal kinase	"superpathway of pyridoxal 5'-phosphate biosynthesis and salvage // ""pyridoxal 5'-phosphate salvage I"""	E2348C_2604
pdxY	pyridoxamine kinase	"superpathway of pyridoxal 5'-phosphate biosynthesis and salvage // ""pyridoxal 5'-phosphate salvage I"""	E2348C_1723
pepA	leucyl aminopeptidase	"seed germination protein turnover // ""wound-induced proteolysis I"""	E2348C_4584
pepB	aminopeptidase	"seed germination protein turnover // ""wound-induced proteolysis I"""	E2348C_2806
pepD	aminoacyl-histidine dipeptidase	muropeptide degradation	E2348C_0230
pepE	peptidase E		E2348C_4329
pepN	aminopeptidase	"seed germination protein turnover // ""wound-induced proteolysis I"""	E2348C_0925
pepP	proline aminopeptidase P II		E2348C_3160
pepQ	proline dipeptidase		E2348C_4159
pepT	peptidase T		E2348C_1268
perA	transcriptional activator of the bfp operon		E2348_P1_020
perB	transcriptional regulator		E2348_P1_021
perC	transcriptional regulator		E2348_P1_022
pfkA	6-phosphofructokinase	"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass // ""superpathway of glycolysis and Entner-Doudoroff"" // ""homolactic fermentation"" // ""glycolysis I (from glucose-6P)"" // ""glycolysis IV (plant cytosol)"" // ""glycolysis III (from glucose)"" // ""glycolysis VI (metazoan)"""	E2348C_4220
pfkB	6-phosphofructokinase	"D-galactosamine and <i>N</i>-acetyl-D-galactosamine degradation // ""galactitol degradation"" // ""superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass"" // ""superpathway of glycolysis and Entner-Doudoroff"" // ""homolactic fermentation"" // ""glycolysis I (from glucose-6P)"" // ""glycolysis IV (plant cytosol)"" // ""glycolysis III (from glucose)"" // ""glycolysis VI (metazoan)"""	E2348C_1852
pflA	pyruvate formate lyase-activating enzyme 1		E2348C_0895
pflB	pyruvate formate lyase I	"mixed acid fermentation // ""respiration (anaerobic)"" // ""pyruvate fermentation to ethanol I"" // ""pyruvate fermentation to acetate IV"" // ""reductive monocarboxylic acid cycle"""	E2348C_0896
pflC	pyruvate formate lyase II activase		E2348C_4264
pflD	formate acetyltransferase 2	"mixed acid fermentation // ""respiration (anaerobic)"" // ""pyruvate fermentation to ethanol I"" // ""pyruvate fermentation to acetate IV"" // ""reductive monocarboxylic acid cycle"""	E2348C_4263
pfs	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	"<i>S</i>-methyl-5'-thioadenosine degradation IV // ""<i>S</i>-methyl-5'-thioadenosine degradation II"" // ""autoinducer AI-2 biosynthesis I"" // ""<i>S</i>-adenosyl-L-methionine cycle I"""	E2348C_0166
pgi	glucose-6-phosphate isomerase	"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass // ""superpathway of glycolysis and Entner-Doudoroff"" // ""homolactic fermentation"" // ""glycolysis I (from glucose-6P)"" // ""GDP-mannose biosynthesis"" // ""gluconeogenesis I"" // ""glycolysis III (from glucose)"" // ""sucrose biosynthesis I (from photosynthesis)"" // ""UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis I"" // ""glycolysis VI (metazoan)"" // ""sucrose degradation II (sucrose synthase)"""	E2348C_4340
pgk	phosphoglycerate kinase	"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass // ""superpathway of glycolysis and Entner-Doudoroff"" // ""homolactic fermentation"" // ""glycolysis I (from glucose-6P)"" // ""gluconeogenesis I"" // ""glycolysis IV (plant cytosol)"" // ""glycolysis III (from glucose)"" // ""glycerol degradation to butanol"" // ""glycolysis VI (metazoan)"" // ""sucrose biosynthesis I (from photosynthesis)"" // ""superpathway of glucose and xylose degradation"""	E2348C_3173
pgl	6-phosphogluconolactonase	"superpathway of glucose and xylose degradation // ""pentose phosphate pathway"" // ""pentose phosphate pathway (oxidative branch) I"" // ""superpathway of glycolysis and Entner-Doudoroff"""	E2348C_0644
pgm	phosphoglucomutase	"L-ascorbate biosynthesis IV // ""L-ascorbate biosynthesis V"" // ""sucrose biosynthesis I (from photosynthesis)"" // ""sucrose degradation II (sucrose synthase)"" // ""glycogen degradation I"" // ""GDP-glucose biosynthesis II"" // ""glycogen biosynthesis I (from ADP-D-Glucose)"" // ""UDP-glucose biosynthesis"" // ""glucose and glucose-1-phosphate degradation"" // ""starch degradation V"" // ""glycogen degradation II"" // ""D-galactose degradation V (Leloir pathway)"""	E2348C_0580
pgpA	phosphatidylglycerophosphatase A	"phospholipid biosynthesis I // ""cardiolipin biosynthesis I"" // ""cardiolipin biosynthesis III"" // ""cardiolipin biosynthesis II"" // ""phosphatidylglycerol biosynthesis I (plastidic)"" // ""phosphatidylglycerol biosynthesis II (non-plastidic)"""	E2348C_0353
pgpB	phosphatidylglycerophosphatase B	"phospholipid biosynthesis I // ""cardiolipin biosynthesis I"" // ""cardiolipin biosynthesis III"" // ""cardiolipin biosynthesis II"" // ""phosphatidylglycerol biosynthesis I (plastidic)"" // ""phosphatidylglycerol biosynthesis II (non-plastidic)"""	E2348C_1470
pgsA	phosphatidylglycerophosphate synthetase	"phospholipid biosynthesis I // ""cardiolipin biosynthesis I"" // ""cardiolipin biosynthesis III"" // ""cardiolipin biosynthesis II"" // ""phosphatidylglycerol biosynthesis I (plastidic)"" // ""phosphatidylglycerol biosynthesis II (non-plastidic)"""	E2348C_2030
pheA	bifunctional chorismate mutase/prephenate dehydratase	"tyrosine biosynthesis I // ""superpathway of chorismate metabolism"" // ""superpathway of phenylalanine, tyrosine, and tryptophan biosynthesis"" // ""phenylalanine biosynthesis I"""	E2348C_2873
pheP	phenylalanine transporter		E2348C_0476
pheS	phenylalanyl-tRNA synthetase subunit alpha	tRNA charging	E2348C_1843
pheT	phenylalanyl-tRNA synthetase subunit beta	tRNA charging	E2348C_1842
pheU	tRNA-Phe	"tRNA charging // ""tRNA processing"""	E2348C_tRNA85
pheV	tRNA-Phe	"tRNA charging // ""tRNA processing"""	E2348C_tRNA61
phnC	phosphonate/organophosphate ester transporter subunit		E2348C_4434
phnD	phosphonate/organophosphate ester transporter subunit		E2348C_4433
phnE	"phosphonate/organophosphate ester transporter subunit PhnE, membrane component of ABC superfamily"		E2348C_4432
phnF	phosphonate metabolism transcriptional regulator PhnF		E2348C_4431
phnG	carbon-phosphorus lyase complex subunit PhnG		E2348C_4430
phnH	carbon-phosphorus lyase complex subunit		E2348C_4429
phnI	carbon-phosphorus lyase complex subunit PhnI		E2348C_4428
phnJ	carbon-phosphorus lyase complex subunit PhnJ		E2348C_4427
phnK	phosphonate C-P lyase system protein PhnK		E2348C_4426
phnL	carbon-phosphorus lyase complex subunit PhnL		E2348C_4425
phnM	carbon-phosphorus lyase complex subunit PhnM		E2348C_4424
phnN	"ribose 1,5-bisphosphokinase"	"superpathway of histidine, purine, and pyrimidine biosynthesis // ""PRPP biosynthesis II"""	E2348C_4423
phnO	aminoalkylphosphonic acid N-acetyltransferase		E2348C_4422
phnP	carbon-phosphorus lyase complex accessory protein		E2348C_4421
phoA	alkaline phosphatase		E2348C_0319
phoB	transcriptional regulator PhoB		E2348C_0334
phoE	outer membrane phosphoporin protein E		E2348C_0234
phoH	hypothetical protein		E2348C_1070
phoP	DNA-binding transcriptional regulator PhoP		E2348C_1271
phoQ	sensor protein PhoQ		E2348C_1270
phoR	phosphate regulon sensor protein		E2348C_0335
phoU	transcriptional regulator PhoU		E2348C_4034
php	hydrolase		E2348C_3623
phr	deoxyribodipyrimidine photolyase		E2348C_0591
pitA	"phosphate transporter, low-affinity"		E2348C_3730
pitB	phosphate transporter		E2348C_3274
pldA	phospholipase A	"phospholipid remodeling (phosphatidate, yeast)"	E2348C_4121
pldB	lysophospholipase L2	phosphatidylcholine resynthesis via glycerophosphocholine	E2348C_4126
plsB	glycerol-3-phosphate acyltransferase	"phosphatidylglycerol biosynthesis II (non-plastidic) // ""CDP-diacylglycerol biosynthesis I"" // ""phosphatidylglycerol biosynthesis I (plastidic)"" // ""phospholipid biosynthesis I"" // ""CDP-diacylglycerol biosynthesis II"" // ""superpathway phosphatidate biosynthesis (yeast)"""	E2348C_4356
plsC	1-acyl-sn-glycerol-3-phosphate acyltransferase	"phosphatidylglycerol biosynthesis II (non-plastidic) // ""CDP-diacylglycerol biosynthesis I"" // ""superpathway phosphatidate biosynthesis (yeast)"" // ""phospholipid remodeling (phosphatidate, yeast)"" // ""phosphatidylglycerol biosynthesis I (plastidic)"" // ""phospholipid biosynthesis I"" // ""CDP-diacylglycerol biosynthesis II"""	E2348C_3310
plsX	glycerol-3-phosphate acyltransferase PlsX	"phosphatidylglycerol biosynthesis II (non-plastidic) // ""CDP-diacylglycerol biosynthesis I"" // ""phosphatidylglycerol biosynthesis I (plastidic)"" // ""phospholipid biosynthesis I"" // ""CDP-diacylglycerol biosynthesis II"" // ""superpathway phosphatidate biosynthesis (yeast)"""	E2348C_1182
pmbA	peptidase PmbA		E2348C_4561
pmrD	polymyxin resistance protein B		E2348C_2404
pncA	nicotinamidase/pyrazinamidase	NAD salvage pathway I	E2348C_1895
pncB	nicotinate phosphoribosyltransferase	NAD salvage pathway I	E2348C_0924
pnp	polynucleotide phosphorylase		E2348C_3445
pntA	NAD(P) transhydrogenase subunit alpha	NAD phosphorylation and dephosphorylation II	E2348C_1688
pntB	pyridine nucleotide transhydrogenase	NAD phosphorylation and dephosphorylation II	E2348C_1687
pnuC	nicotinamide mononucleotide transporter		E2348C_0628
pocR	pdu/cob regulatory protein		E2348C_2128
polA	DNA polymerase I		E2348C_4170
polB	DNA polymerase II		E2348C_0061
potA	putrescine/spermidine ABC transporter ATPase		E2348C_1267
potB	spermidine/putrescine ABC transporter membrane protein		E2348C_1266
potC	spermidine/putrescine ABC transporter membrane protein		E2348C_1216
potD	spermidine/putrescine ABC transporter substrate-binding protein		E2348C_1215
potE	putrescine transporter		E2348C_0581
potF	putrescine ABC transporter periplasmic-binding protein		E2348C_0851
potG	putrescine ABC transporter ATP-binding protein		E2348C_0852
potH	putrescine ABC transporter membrane protein		E2348C_0853
potI	putrescine ABC transporter membrane protein		E2348C_0854
poxA	lysyl-tRNA synthetase	tRNA charging	E2348C_4483
poxB	pyruvate dehydrogenase	"pyruvate fermentation to acetate and lactate I // ""respiration (anaerobic)"" // ""pyruvate fermentation to acetate II"" // ""superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass"" // ""pyruvate decarboxylation to acetyl CoA"" // ""pyruvate oxidation pathway"""	E2348C_0868
ppa	inorganic pyrophosphatase		E2348C_4553
ppc	phosphoenolpyruvate carboxylase	"CO<sub>2</sub> fixation into oxaloacetate (anapleurotic) // ""TCA cycle VI (obligate autotrophs)"" // ""mixed acid fermentation"" // ""respiration (anaerobic)"" // ""formaldehyde assimilation I (serine pathway)"" // ""gluconeogenesis I"""	E2348C_4268
ppdA	hypothetical protein		E2348C_3095
ppdB	hypothetical protein		E2348C_3094
ppdC	hypothetical protein		E2348C_3092
ppdD	major pilin subunit		E2348C_0111
pphA	serine/threonine protein phosphatase 1		E2348C_1963
pphB	serine/threonine-specific protein phosphatase 2		E2348C_3000
ppiA	peptidyl-prolyl cis-trans isomerase A		E2348C_3613
ppiB	peptidyl-prolyl cis-trans isomerase B		E2348C_0458
ppiC	peptidyl-prolyl cis-trans isomerase C		E2348C_4077
ppiD	peptidyl-prolyl cis-trans isomerase		E2348C_0376
ppk	polyphosphate kinase		E2348C_2726
ppnK	inorganic polyphosphate/ATP-NAD kinase	NAD phosphorylation and dephosphorylation II	E2348C_2903
pppA	bifunctional prepilin leader peptidase/methylase		E2348C_3252
pps	phosphoenolpyruvate synthase	"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass // ""superpathway of glycolysis and Entner-Doudoroff"" // ""glycolysis I (from glucose-6P)"" // ""gluconeogenesis I"""	E2348C_1787
pptA	4-oxalocrotonate tautomerase		E2348C_1598
ppx	exopolyphosphatase		E2348C_2727
pqiA	paraquat-inducible membrane protein A		E2348C_0936
pqiB	paraquat-inducible protein B		E2348C_0937
pqqL	peptidase		E2348C_1621
prc	carboxy-terminal protease		E2348C_1955
prfA	peptide chain release factor 1		E2348C_1334
prfB	peptide chain release factor 2		E2348C_3144
prfC	peptide chain release factor 3		E2348C_4672
prfH	peptide chain release factor-like protein		E2348C_0229
priA	primosome assembly protein PriA		E2348C_4239
priB	primosomal replication protein N		E2348C_4524
priC	primosomal replication protein N''		E2348C_0402
prkB	phosphoribulokinase		E2348C_3605
prlC	oligopeptidase A		E2348C_3735
prmA	50S ribosomal protein L11 methyltransferase		E2348C_3529
prmB	N5-glutamine S-adenosyl-L-methionine-dependent methyltransferase		E2348C_2470
prmC	N5-glutamine S-adenosyl-L-methionine-dependent methyltransferase		E2348C_1335
proA	gamma-glutamyl phosphate reductase	proline biosynthesis I	E2348C_0236
proB	gamma-glutamyl kinase	proline biosynthesis I	E2348C_0235
proC	pyrroline-5-carboxylate reductase	proline biosynthesis I	E2348C_0322
proK	tRNA-Pro	"tRNA charging // ""tRNA processing"""	E2348C_tRNA67
proL	tRNA-Pro	"tRNA charging // ""tRNA processing"""	E2348C_tRNA41
proM	tRNA-Pro	"tRNA charging // ""tRNA processing"""	E2348C_tRNA75
proP	proline/glycine betaine transporter		E2348C_4439
proQ	solute/DNA competence effector		E2348C_1956
proS	prolyl-tRNA synthetase	tRNA charging	E2348C_0200
proV	glycine betaine transporter ATP-binding subunit		E2348C_2942
proW	glycine betaine transporter membrane protein		E2348C_2943
proX	glycine betaine transporter periplasmic subunit		E2348C_2944
proY	permease		E2348C_0337
prpB	2-methylisocitrate lyase	"2-methylcitrate cycle II // ""2-methylcitrate cycle I"""	E2348C_0291
prpC	methylcitrate synthase	"2-methylcitrate cycle II // ""2-methylcitrate cycle I"""	E2348C_0292
prpD	2-methylcitrate dehydratase	"2-methylcitrate cycle I // ""2-methylcitrate cycle II"""	E2348C_0293
prpE	propionyl-CoA synthetase	"2-methylcitrate cycle II // ""2-methylcitrate cycle I"""	E2348C_0294
prpR	DNA-binding transcriptional activator		E2348C_0290
prs	ribose-phosphate pyrophosphokinase	"superpathway of histidine, purine, and pyrimidine biosynthesis // ""PRPP biosynthesis I"""	E2348C_1330
psd	phosphatidylserine decarboxylase	"phospholipid biosynthesis I // ""phosphatidylethanolamine biosynthesis I"""	E2348C_4486
psiE	phosphate-starvation-inducible protein PsiE		E2348C_4346
psiF	hypothetical protein		E2348C_0320
pspA	phage shock protein PspA		E2348C_1496
pspB	phage shock protein B		E2348C_1497
pspC	DNA-binding transcriptional activator PspC		E2348C_1498
pspD	peripheral inner membrane phage-shock protein		E2348C_1499
pspE	thiosulfate:cyanide sulfurtransferase	thiosulfate disproportionation III (rhodanese)	E2348C_1500
